variant,tag,reference,max-dt-200,max-dt-400,max-gap-freq-80,max-gap-freq-99,max-gap-num-50,max-gap-num-500,min-seqs-2,min-seqs-6,no-ambiguous
706010164-5-1133-T,706010164-5,0.0368,0.0419,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0368,0.0431
706010164-5-1142-A,706010164-5,0.0643,0.0727,0.0643,0.0643,0.0643,0.0643,0.0643,0.0643,0.0643,0.0687
706010164-5-1142-T,706010164-5,0.0404,0.0472,0.0404,0.0404,0.0404,0.0404,0.0404,0.0404,0.0404,0.0466
706010164-5-1144-A,706010164-5,0.0091,0.0115,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0091,0.0103
706010164-5-1145-C,706010164-5,0.0097,0.0108,0.0097,0.0097,0.0097,0.0097,0.0097,0.0097,0.0097,0.0107
706010164-5-1148-T,706010164-5,0.0674,0.0534,0.0674,0.0674,0.0674,0.0674,0.0674,0.0674,0.0674,0.0727
706010164-5-1149-T,706010164-5,0.0097,0.0108,0.0097,0.0097,0.0097,0.0097,0.0097,0.0097,0.0097,0.0108
706010164-5-1149a--,706010164-5,0.0088,0.0104,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0088,0.0099
706010164-5-1149b--,706010164-5,0.0089,0.0104,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089,0.01
706010164-5-1149c--,706010164-5,0.009,0.0105,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.0101
706010164-5-1149d-C,706010164-5,0.0016,,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0017
706010164-5-1194-A,706010164-5,0.0175,0.0132,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0175,0.0181
706010164-5-1209-T,706010164-5,0.0061,0.006,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0064
706010164-5-1219-T,706010164-5,0.0271,0.0314,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.03
706010164-5-1223-T,706010164-5,0.0245,0.0199,0.0245,0.0245,0.0245,0.0245,0.0245,0.0245,0.0245,0.0245
706010164-5-1275-A,706010164-5,-0.0034,,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0034,-0.0038
706010164-5-1291-G,706010164-5,0.0313,0.0233,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0318
706010164-5-1299-T,706010164-5,-0.0099,,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0099,-0.0107
706010164-5-1367-A,706010164-5,0.0024,0.0016,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0025
706010164-5-1476-G,706010164-5,0.0061,,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0061,0.0063
706010164-5-1494-T,706010164-5,0.0117,,0.0117,0.0117,0.0117,0.0117,0.0117,0.0117,0.0117,0.0125
706010164-5-1528-A,706010164-5,0.0139,0.0218,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0139,0.0055
706010164-5-1548-T,706010164-5,0.0024,,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
706010164-5-1591-T,706010164-5,0.0024,,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
706010164-5-1609-A,706010164-5,0.0212,0.0254,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0212,0.0225
706010164-5-1632-T,706010164-5,0.0048,,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.0048,0.005
706010164-5-1663-T,706010164-5,0.0538,0.0875,0.0538,0.0538,0.0538,0.0538,0.0538,0.0538,0.0538,0.0551
706010164-5-1674-T,706010164-5,-0.0018,,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0015
706010164-5-1756-A,706010164-5,-0.0036,,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036
706010164-5-1792-A,706010164-5,0.01,0.0124,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0107
706010164-5-1842-A,706010164-5,-0.008,,-0.008,-0.008,-0.008,-0.008,-0.008,-0.008,-0.008,-0.0082
706010164-5-1863-T,706010164-5,0.0003,0.0022,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
706010164-5-1897-T,706010164-5,-0.0097,,-0.0097,-0.0097,-0.0097,-0.0097,-0.0097,-0.0097,-0.0097,-0.0088
706010164-5-1898-T,706010164-5,0.003,,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0036
706010164-5-1910-T,706010164-5,0.0022,,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022
706010164-5-1913-A,706010164-5,0.0011,0.0061,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0005
706010164-5-1914-T,706010164-5,-0.0057,,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0052
706010164-5-1947-C,706010164-5,-0.0085,,-0.0085,-0.0085,-0.0085,-0.0085,-0.0085,-0.0085,-0.0085,-0.0088
706010164-5-1971-T,706010164-5,-0.0014,-0.0012,-0.0014,-0.0014,-0.0014,-0.0014,-0.0014,-0.0014,-0.0014,-0.0001
706010164-5-2025-T,706010164-5,0.0073,0.0055,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0074
706010164-5-2069-A,706010164-5,-0.0057,-0.0049,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.0057,-0.006
706010164-5-2073-A,706010164-5,-0.0031,,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0023
706010164-5-2120-A,706010164-5,-0.0,0.002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0004
706010164-5-2175-A,706010164-5,-0.0104,-0.0107,-0.0104,-0.0104,-0.0104,-0.0104,-0.0104,-0.0104,-0.0104,-0.0098
706010164-5-2185-A,706010164-5,-0.0035,-0.0013,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0036
706010164-5-2193--,706010164-5,0.0114,0.0125,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114,0.0126
706010164-5-2194--,706010164-5,0.0114,0.0125,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114,0.0126
706010164-5-2195--,706010164-5,0.0105,0.0121,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105,0.0118
706010164-5-2211-A,706010164-5,-0.0036,,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0031
706010164-5-2270-A,706010164-5,-0.0018,-0.0013,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0005
706010164-5-2307-G,706010164-5,0.0017,,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0012
706010164-5-2311-A,706010164-5,-0.0036,,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036
706010164-5-2315-A,706010164-5,-0.004,,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,-0.0036
706010164-5-2348-G,706010164-5,-0.0127,,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127,-0.0127,-0.0136
706010164-5-2382-T,706010164-5,-0.0124,-0.0073,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0124,-0.0122
706010164-5-2388-T,706010164-5,-0.0036,-0.004,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.003
706010164-5-2404-A,706010164-5,-0.0042,,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.004
706010164-5-2446-G,706010164-5,0.0004,0.0015,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0009
706010164-5-2449-A,706010164-5,0.0073,0.0083,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0077
706010164-5-2452-T,706010164-5,-0.0023,-0.0008,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0024
706010164-5-2464-T,706010164-5,-0.0126,,-0.0126,-0.0126,-0.0126,-0.0126,-0.0126,-0.0126,-0.0126,-0.013
706010164-5-2501-T,706010164-5,0.0169,,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0159
706010164-5-2522-A,706010164-5,-0.0036,,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036
706010164-5-2549-C,706010164-5,-0.0029,,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029,-0.0024
706010164-5-2627-A,706010164-5,0.0067,,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.0067,0.007
706010164-5-2656-T,706010164-5,0.0076,,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0076,0.0088
706010164-5-2664-A,706010164-5,-0.0036,,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0031
706010164-5-2666-C,706010164-5,-0.0081,,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0081,-0.0089
706010164-5-2675-A,706010164-5,0.007,,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.0069
706010164-5-2681-G,706010164-5,0.0015,0.0026,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0018
706010164-5-2770-G,706010164-5,-0.0029,,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029,-0.0029,-0.0027
706010164-5-2780-T,706010164-5,0.0005,,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0009
706010164-5-2783-A,706010164-5,0.0014,0.0023,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0016
706010164-5-2827-A,706010164-5,0.0014,0.0023,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0016
706010164-5-2858-C,706010164-5,0.0073,0.0103,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0101
706010164-5-2865-G,706010164-5,0.0165,0.0102,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0212
706010164-5-2903-A,706010164-5,-0.0061,,-0.0061,-0.0061,-0.0061,-0.0061,-0.0061,-0.0061,-0.0061,-0.0059
706010164-5-2918-T,706010164-5,-0.0082,,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0082,-0.0084
706010164-5-2963-G,706010164-5,0.0131,,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0131,0.0139
706010164-5-3005-G,706010164-5,-0.0001,,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0002
706010164-5-3043-C,706010164-5,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
706010164-5-3050-T,706010164-5,-0.0031,-0.0012,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0032
706010164-5-3054-A,706010164-5,0.0113,,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0113,0.0121
706010164-5-3114-A,706010164-5,-0.0017,,-0.0017,-0.0017,-0.0017,-0.0017,-0.0017,-0.0017,-0.0017,-0.0014
706010164-5-3122-G,706010164-5,-0.0023,,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0023,-0.0018
706010164-5-3176-G,706010164-5,0.0028,,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0028,0.0019
706010164-5-3195-G,706010164-5,0.0128,0.0152,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0136
706010164-5-3203-T,706010164-5,0.0014,0.0021,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.002
706010164-5-3212-C,706010164-5,0.015,0.0138,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.0152
706010164-5-3266-C,706010164-5,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,0.0004
706010164-5-3269-G,706010164-5,-0.0004,-0.0001,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,-0.0004,0.0
706010164-5-3299-G,706010164-5,0.0058,,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.0058,0.006
706010164-5-3326-A,706010164-5,-0.008,,-0.008,-0.008,-0.008,-0.008,-0.008,-0.008,-0.008,-0.0082
706010164-5-3365-G,706010164-5,0.0063,,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0065
706010164-5-3368-A,706010164-5,0.0009,0.0092,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0024
706010164-5-3399-C,706010164-5,0.0005,0.0015,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.001
706010164-5-3433-C,706010164-5,0.0082,0.0101,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0092
706010164-5-3524-A,706010164-5,-0.0109,,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.01
706010164-5-3537-T,706010164-5,0.0002,0.0013,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0007
706010164-5-3561-T,706010164-5,-0.0018,,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0013
706010164-5-3575-T,706010164-5,0.0167,,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0167,0.0152
706010164-5-3588-C,706010164-5,-0.0018,,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0014
706010164-5-3593-C,706010164-5,-0.0096,,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.0104
706010164-5-3617-G,706010164-5,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0004
706010164-5-3632-T,706010164-5,-0.0036,,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0036,-0.0032
706010164-5-3651-C,706010164-5,0.001,0.0026,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
706010164-5-3680-A,706010164-5,-0.0109,,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.0109,-0.01
706010164-5-3776-T,706010164-5,-0.0047,-0.0045,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047,-0.0047,-0.0041
706010164-5-3785-C,706010164-5,0.0001,,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002
706010164-5-3853-G,706010164-5,-0.0032,,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0027
706010164-5-3894-A,706010164-5,-0.0042,,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.0042,-0.004
706010164-5-3899-C,706010164-5,-0.0067,,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0065
706010164-5-3927-A,706010164-5,-0.0015,-0.0009,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0011
706010164-5-3941-A,706010164-5,0.057,0.0647,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.0587
706010164-5-3997-G,706010164-5,0.0038,,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038
706010164-5-4023-A,706010164-5,-0.0049,,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049,-0.0049,-0.0045
706010164-5-4049-A,706010164-5,0.009,,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.0091
706010164-5-4060-T,706010164-5,0.001,0.0024,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0014
706010164-5-4145-T,706010164-5,0.0064,0.008,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0064,0.0068
706010164-5-4175-A,706010164-5,-0.0067,,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0067,-0.0069
706010164-5-4182--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4183--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4184--,706010164-5,-0.0,0.0004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
706010164-5-4185--,706010164-5,-0.0002,0.0003,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,
706010164-5-4186--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4187--,706010164-5,-0.0002,0.0003,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,
706010164-5-4188--,706010164-5,-0.0001,0.0003,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,
706010164-5-4189--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4190--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4191--,706010164-5,-0.0002,0.0003,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,
706010164-5-4192--,706010164-5,-0.0,0.0004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
706010164-5-4193--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4194--,706010164-5,-0.0002,0.0003,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,
706010164-5-4195--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4196--,706010164-5,-0.0,0.0004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
706010164-5-4197--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4198--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4199--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4200--,706010164-5,-0.0001,0.0003,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,
706010164-5-4201--,706010164-5,-0.0,0.0004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
706010164-5-4202--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4203--,706010164-5,-0.0002,0.0003,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,
706010164-5-4204--,706010164-5,-0.0,0.0004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
706010164-5-4205--,706010164-5,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,
706010164-5-4211-C,706010164-5,-0.0096,,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.0096,-0.0104
706010164-5-4220-A,706010164-5,0.009,,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.0091
706010164-5-4276-G,706010164-5,-0.0022,,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022,-0.0022,-0.0018
706010164-5-4304-T,706010164-5,-0.0014,-0.0013,-0.0014,-0.0014,-0.0014,-0.0014,-0.0014,-0.0014,-0.0014,0.0003
706010164-5-4331--,706010164-5,0.0133,0.0154,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0141
706010164-5-4338-A,706010164-5,0.0122,,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.0126
706010164-5-4362-T,706010164-5,-0.0013,,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.0013,-0.001
706010164-5-4378-G,706010164-5,0.008,,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.0083
706010164-5-4396-A,706010164-5,-0.0018,-0.0013,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0018,-0.0005
706010164-5-4439-G,706010164-5,0.0063,,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0063,0.0065
706010164-5-4478-T,706010164-5,0.0073,0.0055,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0073,0.0074
706010164-5-4503--,706010164-5,-0.0028,,-0.0028,-0.0028,-0.0028,-0.0028,-0.0028,-0.0028,-0.0028,-0.0027
706010164-5-4532-C,706010164-5,0.0128,0.0148,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0128,0.0136
706010164-5-4595-T,706010164-5,0.0053,0.0057,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0053,0.0056
706010164-5-4603-T,706010164-5,-0.0032,,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0031
706010164-5-4661-C,706010164-5,-0.0005,0.003,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0005,-0.0006
706010164-5-4701-C,706010164-5,-0.0098,,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0098,-0.0093
706010164-5-4740-T,706010164-5,-0.0157,-0.0116,-0.0157,-0.0157,-0.0157,-0.0157,-0.0157,-0.0157,-0.0157,-0.0157
706010164-5-4887--,706010164-5,-0.0001,-0.0004,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0008
706010164-5-4888--,706010164-5,-0.0008,-0.0007,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,0.0
706010164-5-4889--,706010164-5,-0.0008,-0.0007,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,-0.0008,0.0
706010164-5-4890--,706010164-5,-0.0009,-0.0008,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0009,-0.0001
706010164-5-4891--,706010164-5,-0.0001,-0.0004,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0008
706010164-5-4892--,706010164-5,-0.0001,-0.0004,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0008
706010164-5-4893--,706010164-5,-0.0001,-0.0004,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0008
706010164-5-4900-A,706010164-5,0.006,0.0078,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.0064
706010164-5-4937-G,706010164-5,0.003,0.0041,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0033
706010164-5-4955-A,706010164-5,0.0022,0.0095,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0036
706010164-5-4967-G,706010164-5,0.0107,,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107,0.0107,0.0109
706010164-5-5028--,706010164-5,0.0016,,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0017
706010164-5-5029--,706010164-5,0.0009,,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.001
706010164-5-5030--,706010164-5,0.0008,,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009
706010164-5-5031--,706010164-5,0.0016,,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0017
706010164-5-5032--,706010164-5,0.0009,,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.001
706010164-5-5033--,706010164-5,0.0008,,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009
706010164-5-5034--,706010164-5,0.0016,,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0017
706010164-5-5035--,706010164-5,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008
706010164-5-5036--,706010164-5,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008
706010164-5-5037--,706010164-5,0.0007,,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008
706010164-5-5038--,706010164-5,0.0016,,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0016,0.0017
706010164-5-5039--,706010164-5,0.0008,,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0008,0.0009
706010164-5-5040--,706010164-5,0.0009,,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,0.001
